TZ1,TZ2,TZ3,TZ4,TF,TD1,TD2,TD3,TD4,RPMT,TBT,TT1,TT2,PV,TEN,DE
-2.380861,-3.481828,1.299987,0.498984,2.104224,0.696187,1.387085,0.447782,-2.070794,-0.674028,0.191857,-0.946875,-0.01772,-1.003874,0.780268,0.33
-2.380861,-3.481828,1.299987,0.498984,2.104224,0.696187,1.387085,0.447782,-2.070794,-0.674028,0.191857,-0.946875,-0.01772,-1.003874,0.780268,0.328
-2.380861,-3.481828,1.299987,0.498984,2.104224,0.696187,1.387085,0.447782,-2.070794,-0.674028,0.191857,-0.946875,-0.01772,-1.003874,0.780268,0.329
-2.380861,-3.481828,1.299987,0.498984,2.104224,0.696187,1.387085,0.447782,-2.070794,-0.674028,0.191857,-0.946875,-0.01772,-1.003874,0.780268,0.331
-2.380861,-3.481828,1.299987,0.498984,2.104224,0.696187,1.387085,0.447782,-2.070794,-0.674028,0.191857,-0.946875,-0.01772,-1.003874,0.780268,0.33
-2.380861,-3.481828,1.299987,0.498984,2.104224,0.696187,1.387085,0.447782,-2.070794,-0.674028,0.191857,-0.946875,-0.01772,-1.003874,0.780268,0.329
0.552901,-0.216633,-0.657995,-0.814796,-0.264167,1.042946,-0.11559,0.447782,0.367273,-0.337338,1.212476,-0.929327,-0.049826,-0.792418,1.717311,0.33
0.552901,-0.216633,-0.657995,-0.814796,-0.264167,1.042946,-0.11559,0.447782,0.367273,-0.337338,1.212476,-0.929327,-0.049826,-0.792418,1.717311,0.328
0.552901,-0.216633,-0.657995,-0.814796,-0.264167,1.042946,-0.11559,0.447782,0.367273,-0.337338,1.212476,-0.929327,-0.049826,-0.792418,1.717311,0.329
0.552901,-0.216633,-0.657995,-0.814796,-0.264167,1.042946,-0.11559,0.447782,0.367273,-0.337338,1.212476,-0.929327,-0.049826,-0.792418,1.717311,0.33
0.552901,-0.216633,-0.657995,-0.814796,-0.264167,1.042946,-0.11559,0.447782,0.367273,-0.337338,1.212476,-0.929327,-0.049826,-0.792418,1.717311,0.328
0.552901,-0.216633,-0.657995,-0.814796,-0.264167,1.042946,-0.11559,0.447782,0.367273,-0.337338,1.212476,-0.929327,-0.049826,-0.792418,1.717311,0.33
-0.285316,1.824113,-0.413247,-2.785465,2.780907,-1.037612,0.48548,0.447782,0.773617,-0.337338,1.212476,-0.77139,-0.049826,-0.792418,1.717311,0.331
-0.285316,1.824113,-0.413247,-2.785465,2.780907,-1.037612,0.48548,0.447782,0.773617,-0.337338,1.212476,-0.77139,-0.049826,-0.792418,1.717311,0.329
-0.285316,1.824113,-0.413247,-2.785465,2.780907,-1.037612,0.48548,0.447782,0.773617,-0.337338,1.212476,-0.77139,-0.049826,-0.792418,1.717311,0.33
-0.285316,1.824113,-0.413247,-2.785465,2.780907,-1.037612,0.48548,0.447782,0.773617,-0.337338,1.212476,-0.77139,-0.049826,-0.792418,1.717311,0.331
